word,simpler,level
additional,more,A1
announce,tell,A1
anticipate,expect,A2
approximately,about,A1
assist,help,A1
assistance,help,A1
attempt,try,A1
benefit,help,A1
beneath,under,A1
beverage,drink,A1
circumstances,situation,A2
commence,start,A1
conclude,finish,A1
considerable,large,A1
contain,have,A1
delay,wait,A1
demonstrate,show,A1
determine,find,A1
destroy,break,A1
discover,find,A1
enormous,big,A1
establish,start,A1
ethical,fair,A1
explain,tell,A1
express,say,A1
frequently,often,A1
identify,find,A1
identical,same,A1
implications,results,A2
increase,grow,A1
inform,tell,A1
inquire,ask,A1
investigate,study,A1
irreversible,permanent,B1
maintain,keep,A1
mention,say,A1
notice,see,A1
numerous,many,A1
obtain,get,A1
occur,happen,A1
offer,give,A1
organize,plan,A1
participate,join,A1
possess,have,A1
prevent,stop,A1
provide,give,A1
purchase,buy,A1
receive,get,A1
recognize,know,A1
recommend,suggest,A2
reduce,cut,A1
request,ask,A1
require,need,A1
rescue,save,A1
researchers,scientists,A1
reveal,show,A1
rigorous,strict,A1
select,choose,A1
subsequently,then,A1
sufficient,enough,A2
support,help,A1
synthesizing,making,A2
therefore,so,A1
transmit,send,A2
upset,sad,A1
utilize,use,A1
various,different,A1
verify,check,A1
wealthy,rich,A1
